date,curr_close,real_close,real_return,real_direction,rw_direction,sma_direction,bh_direction,pred_close,pred_return,pred_direction,prob_up
2018-07-06,10749.75,10772.650390625,0.0021303184376380846,1,-1,1,1,10752.548828125,0.0002603621595851066,1,0.5220860501316056
2018-07-09,10772.650390625,10852.900390625,0.007449420253147574,1,1,1,1,10753.2119140625,-0.0018044284236139805,-1,0.35160433342975034
2018-07-10,10852.900390625,10947.25,0.008693492612951787,1,1,1,1,10847.447265625,-0.0005024578503190301,-1,0.4584341125676756
2018-07-11,10947.25,10948.2998046875,9.589665783644294e-05,1,1,1,1,10995.2119140625,0.004381183773322067,1,0.7991569384847229
2018-07-12,10948.2998046875,11023.2001953125,0.006841280560560782,1,1,1,1,10919.8369140625,-0.0025997544032191787,-1,0.30275402305277205
2018-07-13,11023.2001953125,11018.900390625,-0.0003900686380828361,-1,1,1,1,11051.79296875,0.002593872281268989,1,0.6924882197782637
2018-07-16,11018.900390625,10936.849609375,-0.007446367454216184,-1,-1,1,1,11037.376953125,0.0016768063822157845,1,0.6286989788703202
2018-07-17,10936.849609375,11008.0498046875,0.006510119262448999,1,-1,1,1,10970.7314453125,0.0030979520746501534,1,0.7277171136795539
2018-07-18,11008.0498046875,10980.4501953125,-0.0025072206126145434,-1,1,1,1,10983.3115234375,-0.0022472900912444845,-1,0.3297351028713257
2018-07-19,10980.4501953125,10957.099609375,-0.002126559979067912,-1,-1,1,1,11041.587890625,0.005567867821904004,1,0.8533360266833786
2018-07-20,10957.099609375,11010.2001953125,0.004846226449567605,1,-1,1,1,10921.654296875,-0.0032349174292138996,-1,0.25954987414324104
2018-07-23,11010.2001953125,11084.75,0.006770976309698615,1,1,1,1,10999.38671875,-0.0009821326016491278,-1,0.4195743528147517
2018-07-24,11084.75,11134.2998046875,0.004470087704955006,1,1,1,1,11081.326171875,-0.0003088773427456641,-1,0.47504007794678954
2018-07-25,11134.2998046875,11132.0,-0.00020655135283242424,-1,1,1,1,11146.9599609375,0.0011370410777577697,1,0.5993217415388683
2018-07-26,11132.0,11167.2998046875,0.003171020902578153,1,-1,1,1,11142.353515625,0.0009300678786381603,1,0.5892788466395406
2018-07-27,11167.2998046875,11278.349609375,0.009944194803553729,1,1,1,1,11168.60546875,0.00011691851077123804,1,0.5125553334513454
2018-07-30,11278.349609375,11319.5498046875,0.0036530340643326754,1,1,1,1,11243.8916015625,-0.003055234941808966,-1,0.20959912522916196
2018-07-31,11319.5498046875,11356.5,0.0032642813495284665,1,1,1,1,11249.7001953125,-0.006170705600506729,-1,0.06399065519255628
2018-08-01,11356.5,11346.2001953125,-0.0009069523785937569,-1,1,1,1,11282.1640625,-0.006545673182758773,-1,0.05232571929656903
2018-08-02,11346.2001953125,11244.7001953125,-0.008945726168478245,-1,-1,1,1,11320.2822265625,-0.002284286219514053,-1,0.26460065166014357
2018-08-03,11244.7001953125,11360.7998046875,0.010324829240302702,1,-1,1,1,11295.5244140625,0.00451983760057798,1,0.8493188699190856
2018-08-06,11360.7998046875,11387.099609375,0.0023149606664707376,1,1,1,1,11314.00390625,-0.004119067252482688,-1,0.17961865985172076
2018-08-07,11387.099609375,11389.4501953125,0.00020642534254857684,1,1,1,1,11346.3544921875,-0.0035781822048833703,-1,0.20191625288973988
2018-08-08,11389.4501953125,11450.0,0.005316306199962153,1,1,1,1,11356.974609375,-0.002851374331560431,-1,0.25055029778692556
2018-08-09,11450.0,11470.7001953125,0.0018078773198689957,1,1,1,1,11379.875,-0.006124454148471616,-1,0.08443132850414661
2018-08-10,11470.7001953125,11429.5,-0.0035917768410804124,-1,1,1,1,11442.3271484375,-0.002473523533166235,-1,0.27511807308060954
2018-08-13,11429.5,11355.75,-0.006452600726190997,-1,-1,1,1,11405.4794921875,-0.0021016236766700207,-1,0.2929393852394616
2018-08-14,11355.75,11435.099609375,0.006987615029830702,1,-1,1,1,11405.2421875,0.0043583371860070885,1,0.848565757724005
2018-08-16,11435.099609375,11385.0498046875,-0.0043768577797492,-1,1,1,1,11423.427734375,-0.0010207060190740168,-1,0.4011175654985887
2018-08-17,11385.0498046875,11470.75,0.007527432622843263,1,-1,1,1,11369.8310546875,-0.0013367310869148831,-1,0.37475028948140104
2018-08-20,11470.75,11551.75,0.00706143887714404,1,1,1,1,11429.6484375,-0.003583162609245254,-1,0.20709616666548405
2018-08-21,11551.75,11570.900390625,0.0016577912978553034,1,1,1,1,11462.1025390625,-0.0077605090949423245,-1,0.05215888192930801
2018-08-23,11570.900390625,11582.75,0.0010240870610726902,1,1,1,1,11485.9189453125,-0.007344410758332502,-1,0.059594759704045666
2018-08-24,11582.75,11557.099609375,-0.0022145337355118605,-1,1,1,1,11513.0703125,-0.006015815544667717,-1,0.09373913937848925
2018-08-27,11557.099609375,11691.9501953125,0.01166820313879709,1,-1,1,1,11563.37109375,0.0005426521001785463,1,0.5502047055177062
2018-08-28,11691.9501953125,11738.5,0.003981355027167547,1,1,1,1,11706.4453125,0.0012397518758941804,1,0.6100041627542659
2018-08-29,11738.5,11691.900390625,-0.003969809547642374,-1,1,1,1,11724.896484375,-0.0011588802338458918,-1,0.39707219257457993
2018-08-30,11691.900390625,11676.7998046875,-0.0012915424723946682,-1,-1,1,1,11630.9423828125,-0.0052136954452142266,-1,0.13826134306704882
2018-08-31,11676.7998046875,11680.5,0.0003168843668120956,1,-1,1,1,11622.4462890625,-0.00465482979362038,-1,0.1637155887689909
2018-09-03,11680.5,11582.349609375,-0.008402927154231412,-1,1,1,1,11622.326171875,-0.004980422766576773,-1,0.12548358354048617
2018-09-04,11582.349609375,11520.2998046875,-0.005357272641578317,-1,-1,1,1,11605.6103515625,0.002008292183536945,1,0.6826659536671268
2018-09-05,11520.2998046875,11476.9501953125,-0.0037628889968090466,-1,-1,1,1,11475.5068359375,-0.0038881773486289105,-1,0.1928068278407515
2018-09-06,11476.9501953125,11536.900390625,0.005223530144531367,1,-1,1,1,11474.66796875,-0.00019885305099887282,-1,0.482007168707186
2018-09-07,11536.900390625,11589.099609375,0.004524544460175595,1,1,1,1,11553.166015625,0.0014098782557936972,1,0.6250221158101369
2018-09-10,11589.099609375,11438.099609375,-0.013029485041085382,-1,1,1,1,11625.0087890625,0.003098530593218068,1,0.751798656840581
2018-09-11,11438.099609375,11287.5,-0.013166488710376694,-1,-1,1,1,11453.7646484375,0.001369549103214705,1,0.6062164851068695
2018-09-12,11287.5,11369.900390625,0.007300145348837209,1,-1,1,1,11421.0107421875,0.011828194213732005,1,0.9686611151590987
2018-09-14,11369.900390625,11515.2001953125,0.012779338401883125,1,1,1,1,11364.5419921875,-0.00047127927716220303,-1,0.46596859460609596
2018-09-17,11515.2001953125,11377.75,-0.011936413868727349,-1,1,1,1,11569.392578125,0.0047061607174280935,1,0.7796633219368586
2018-09-18,11377.75,11278.900390625,-0.008687975159851464,-1,-1,1,1,11401.4140625,0.002079854320933401,1,0.6306134311897776
2018-09-19,11278.900390625,11234.349609375,-0.003949922395540484,-1,-1,1,1,11278.6591796875,-2.1386033136749222e-05,-1,0.4986250931167335
2018-09-21,11234.349609375,11143.099609375,-0.008122410568730424,-1,-1,1,1,11242.619140625,0.0007360934577911945,1,0.5472384192910653
2018-09-24,11143.099609375,10967.400390625,-0.015767535507102474,-1,-1,1,1,11090.1123046875,-0.004755167461925971,-1,0.23035712887583365
2018-09-25,10967.400390625,11067.4501953125,0.00912247215602917,1,-1,1,1,11055.2548828125,0.00801051197716813,1,0.868328508105596
2018-09-26,11067.4501953125,11053.7998046875,-0.0012333817079910128,-1,1,1,1,11069.5595703125,0.00019059268058810902,1,0.5115195319477474
2018-09-27,11053.7998046875,10977.5498046875,-0.006898080420062,-1,-1,1,1,11071.2333984375,0.0015771584485008558,1,0.5959491832428738
2018-09-28,10977.5498046875,10930.4501953125,-0.0042905393473949985,-1,-1,1,1,11028.7744140625,0.004666306260175353,1,0.7583227696249341
2018-10-01,10930.4501953125,11008.2998046875,0.007122269255513889,1,-1,-1,1,10971.8095703125,0.0037838674767245064,1,0.716787476892866
2018-10-03,11008.2998046875,10858.25,-0.013630606664946256,-1,1,-1,1,10953.1630859375,-0.0050086498122554725,-1,0.23450566184651933
2018-10-04,10858.25,10599.25,-0.02385283079685953,-1,-1,-1,1,10878.974609375,0.0019086509681578523,1,0.6075966949943241
